source_center,destination_center,n,med_dist,segment,cur,exp_t_ftl,exp_t_cart,ftl_gain_pct,src_btw,rec,rec_type,flip
IND000000AAL,IND411033AAA,4,16.95771833750773,LAST-MILE,Carting,59.21052631578947,77.125,23.227842702379938,0.0,Carting (structural),Carting,False
IND000000AAQ,IND700028AAB,2,11.31906759312482,LAST-MILE,Carting,27.63157894736842,32.30769230769231,14.473684210526311,0.0,Carting (structural),Carting,False
IND000000ABA,IND683565AAA,2,10.108262235999604,LAST-MILE,Carting,36.51315789473684,18.5,-97.36842105263159,0.000409379344454079,Carting (structural),Carting,False
IND000000ABG,IND501359AAF,2,27.424332702599088,CONTESTABLE,Carting,50.351351351351354,203.46428571428572,75.25297809658,0.0,Carting (hold),Carting,False
IND000000ACA,IND142001AAB,1,71.70638327388865,CONTESTABLE,FTL,103.125,116.15625,11.218724778046813,0.009280586145620157,FTL (upgrade),FTL,False
IND000000ACA,IND142401AAA,6,27.304763091313966,CONTESTABLE,FTL,44.65,37.40625,-19.365079365079364,0.009280586145620157,Carting (hold),Carting,True
IND000000ACA,IND144001AAB,3,60.887992454451926,CONTESTABLE,FTL,76.89795918367346,94.5,18.62649821833496,0.009280586145620157,FTL (upgrade),FTL,False
IND000000ACA,IND147301AAA,1,36.94233724785103,CONTESTABLE,FTL,50.351351351351354,53.15625,5.276705276705271,0.009280586145620157,Carting (hold),Carting,True
IND000000ACA,IND160002AAC,11,87.06916513859824,CONTESTABLE,FTL,129.9047619047619,144.01574803149606,9.798224374495563,0.009280586145620157,Carting (hold),Carting,True
IND000000ACB,IND000000AEL,6,50.057316497819826,CONTESTABLE,Carting,113.75675675675676,111.34920634920634,-2.1621621621621707,0.2443725201440001,Carting (hold),Carting,False
IND000000ACB,IND110030AAD,6,38.36381437181875,CONTESTABLE,Carting,91.37837837837839,81.96153846153847,-11.489340114398775,0.2443725201440001,Carting (hold),Carting,False
IND000000ACB,IND110037AAK,13,33.07024419010732,CONTESTABLE,Carting,70.86486486486487,65.08783783783784,-8.875739644970421,0.2443725201440001,Carting (hold),Carting,False
IND000000ACB,IND110043AAA,7,32.778490972318245,CONTESTABLE,Carting,69.0,78.48684210526316,12.087175188600176,0.2443725201440001,FTL (upgrade),FTL,True
IND000000ACB,IND110064AAA,10,45.988795730469874,CONTESTABLE,Carting,104.43243243243244,90.0683523200889,-15.947977000063045,0.2443725201440001,Carting (hold),Carting,False
IND000000ACB,IND110085AAB,6,54.47453720273937,CONTESTABLE,Carting,121.21621621621622,109.2773266022827,-10.92531267477414,0.2443725201440001,Carting (hold),Carting,False
IND000000ACB,IND110095AAB,10,61.198377241643385,CONTESTABLE,Carting,141.72972972972974,142.31012658227846,0.4078394605412373,0.2443725201440001,Carting (hold),Carting,False
IND000000ACB,IND121002AAB,19,47.22185287771328,CONTESTABLE,Carting,121.21621621621622,127.5378787878788,4.9566941458833345,0.2443725201440001,Carting (hold),Carting,False
IND000000ACB,IND121004AAB,8,47.17139312360465,CONTESTABLE,Carting,121.21621621621622,117.19696969696969,-3.42947990006815,0.2443725201440001,Carting (hold),Carting,False
IND000000ACB,IND122001AAA,18,29.52225344869861,CONTESTABLE,Carting,63.4054054054054,62.0,-2.2667829119441993,0.2443725201440001,Carting (hold),Carting,False
IND000000ACB,IND124103AAA,3,42.25745958033485,CONTESTABLE,FTL,83.0,90.5625,8.350586611456176,0.2443725201440001,Carting (hold),Carting,True
IND000000ACB,IND124112AAA,2,93.41557805292021,CONTESTABLE,FTL,183.86813186813188,206.7322834645669,11.059787669957144,0.2443725201440001,FTL (upgrade),FTL,False
IND000000ACB,IND125001AAA,1,142.55199005375826,CONTESTABLE,FTL,280.0111111111111,311.25984251968504,10.03943559040953,0.2443725201440001,FTL (upgrade),FTL,False
IND000000ACB,IND127021AAA,1,92.34461004639418,CONTESTABLE,FTL,195.5870985302123,229.96062992125982,14.947572287837822,0.2443725201440001,FTL (upgrade),FTL,False
IND000000ACB,IND131028AAB,19,70.76072820609502,CONTESTABLE,Carting,182.75675675675677,204.08247422680415,10.449558469360454,0.2443725201440001,FTL (upgrade),FTL,True
IND000000ACB,IND160002AAC,17,236.75087695257568,TRUNK,FTL,442.0,467.64489795918365,5.483839997207017,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND201001AAC,4,72.77815512796015,CONTESTABLE,Carting,169.7027027027027,179.15625,5.276705276705274,0.2443725201440001,Carting (hold),Carting,False
IND000000ACB,IND201301AAM,12,63.482572558106625,CONTESTABLE,Carting,149.1891891891892,197.53086419753086,24.47297297297297,0.2443725201440001,FTL (upgrade),FTL,True
IND000000ACB,IND209304AAA,5,384.0105824901404,TRUNK,FTL,726.7289719626169,709.2244897959183,-2.4681158671967998,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND282002AAD,6,159.91520391569327,CONTESTABLE,FTL,282.0,315.9055118110236,10.732801595214347,0.2443725201440001,FTL (upgrade),FTL,False
IND000000ACB,IND302014AAA,6,196.08229213484117,CONTESTABLE,FTL,321.0473372781065,391.3976377952756,17.97412496239093,0.2443725201440001,FTL (upgrade),FTL,False
IND000000ACB,IND302022AAD,6,196.11075358593288,CONTESTABLE,FTL,282.2724329968674,387.9133858267716,27.23312901532089,0.2443725201440001,FTL (upgrade),FTL,False
IND000000ACB,IND382430AAB,4,735.4177194517238,TRUNK,FTL,1140.0,1351.5076923076922,15.649758674073393,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND390022AAA,3,753.972435923574,TRUNK,FTL,1245.899135446686,1486.2307692307693,16.170546240842004,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND411033AAA,7,1119.5596455818504,TRUNK,FTL,1759.258160237389,2159.846153846154,18.54706146062378,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND421302AAG,7,1078.1684815744318,TRUNK,FTL,1859.072614107884,2057.2,9.63092484406552,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND462022AAA,6,563.0037775752423,TRUNK,FTL,1087.0704584040748,1257.4153846153845,13.54722777337534,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND501359AAE,8,1236.2078651557783,TRUNK,FTL,2234.082332761578,2491.3076923076924,10.324913311203526,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND521225AAB,6,1366.568707306351,TRUNK,FTL,2606.0,2741.507692307692,4.942816417692675,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND562132AAA,22,1689.7432698502323,TRUNK,FTL,2869.0486754966887,3226.9384615384615,11.090691387747956,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND600056AAB,4,1720.7778151598022,TRUNK,FTL,3037.059279950341,3442.9230769230767,11.788349257441268,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND712311AAA,14,1300.6263077197877,TRUNK,FTL,2127.552066346736,2171.6076923076926,2.0287101633048583,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND751002AAB,2,1269.198129072351,TRUNK,FTL,2379.0,2493.4461538461537,4.58987869738514,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND821115AAB,4,804.1471597904952,TRUNK,FTL,1339.9721792890264,1381.4461538461537,3.0022143419530014,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND834002AAB,7,1010.827163674178,TRUNK,FTL,1608.0,1819.8307692307692,11.640135600098063,0.2443725201440001,FTL (structural),FTL,False
IND000000ACB,IND842001AAA,7,871.916692578664,TRUNK,FTL,1511.9241852499715,1576.0461538461539,4.0685336809268104,0.2443725201440001,FTL (structural),FTL,False
IND000000ACK,IND501359AAF,10,21.41228686699469,LAST-MILE,Carting,39.473684210526315,61.62337662337663,35.943652598302926,0.0,Carting (structural),Carting,False
IND000000ACN,IND501359AAF,5,16.469858756110916,LAST-MILE,Carting,35.526315789473685,34.94117647058823,-1.6746411483253707,3.963013983098538e-07,Carting (structural),Carting,False
IND000000ACT,IND000000ACB,29,37.14897566516174,CONTESTABLE,FTL,49.8139534883721,67.3953488372093,26.086956521739122,0.0,FTL (upgrade),FTL,False
