model,MAE,RMSE,within15,trip_MAE,trip_RMSE,trip_within15
A: baseline,38.67908819563853,94.8454160097625,38.47190405605714,58.64974240971345,128.10640034123796,40.28344943550324
A+D: +delay,32.67677595991666,83.84543896450073,48.14714997978709,49.91112683566238,113.72249333843133,48.54672111458083
A+G: +centrality,34.71705631295845,84.83508431719878,41.57121681714055,52.62771417632549,114.7777380197196,44.27095844343022
N2V: +node2vec,32.503977904691915,83.53338501636782,48.012397251044334,49.639784121531044,113.15911742980045,48.54672111458083
SAGE: +GraphSAGE,32.28564337247632,83.29714606727528,48.06629834254144,49.402422312886095,113.07966152021797,48.907038193610376
